pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
647833,Patrick Dewaere,1947,1,26,1982,7,16,35
42777272,Bernard Dheran,1926,6,17,2013,1,27,86
1727918,Albert Dieudonne,1889,11,26,1976,3,19,86
46596474,Albert Dinan,1902,3,27,1976,7,3,74
9422310,Mouss Diouf,1964,10,24,2012,7,7,47
34276194,Henry Djanik,1926,3,21,2008,8,18,82
22498676,Jacques Doniol-Valcroze,1920,3,15,1989,10,6,69
18801685,Bernard-Pierre Donnadieu,1949,7,2,2010,12,27,61
15964609,Maurice Dorleac,1901,3,26,1979,12,4,78
30516425,Georges Douking,1902,8,6,1987,10,20,85
28308178,Emile Drain,1890,2,1,1966,11,22,76
30700477,Jacques Duby,1922,5,7,2012,2,15,89
21875923,Michel Duchaussoy,1938,11,29,2012,3,13,73
26337933,Louis Ducreux,1911,9,22,1992,12,19,81
2576653,Jacques Dufilho,1914,2,19,2005,8,28,91
4644522,Charles Dullin,1885,5,8,1949,12,11,64
19190052,Roger Dumas,1932,5,9,2016,7,2,84
35673866,Roger Dutoit,1923,2,8,1988,5,3,65
35231051,Daniel Duval,1944,11,28,2013,10,10,68
20947940,Pierre Dux,1908,10,21,1990,12,1,82
19190265,Jacques Dynam,1923,12,30,2004,11,12,80
23305813,Francois Dyrek,1933,8,16,1999,12,17,66
21033429,Max Elloy,1900,5,5,1975,1,16,74
3160597,Daniel Emilfork,1924,4,7,2006,10,17,82
50222953,Jacques Erwin,1908,12,22,1957,4,17,48
28308431,Maurice Escande,1892,11,14,1973,2,10,80
18499296,Giani Esposito,1930,8,23,1974,1,1,43
35137234,Pierre Etchepare,1891,10,2,1943,4,20,51
22586804,Marc Eyraud,1924,3,1,2005,2,15,80
34269187,Jacques Fabbri,1925,7,4,1997,12,24,72
31300083,Saturnin Fabre,1884,4,4,1961,10,4,77
46560024,Samson Fainsilber,1904,6,18,1983,12,19,79
35182328,Paul Faivre,1886,3,3,1973,3,5,87
43411466,Andre Falcon,1924,11,28,2009,7,22,84
22754173,Rene Feret,1945,5,26,2015,4,28,69
2599284,Jacques Feyder,1885,7,21,1948,5,24,62
21033242,Louis Florencie,1896,12,4,1951,12,4,55
29830930,Jean-Claude Fourneau,1907,3,28,1981,10,9,74
9201823,Paul Frankeur,1905,6,29,1974,10,27,69
387608,Louis de Funes,1914,7,31,1983,1,27,68
1115155,Jean Gabin,1904,5,17,1976,11,15,72
23053102,Gabriel Gabrio,1887,1,13,1946,10,31,59
5930309,Michel Galabru,1922,10,27,2016,1,4,93
375474,Abel Gance,1889,10,25,1981,11,10,92
1870067,Maurice Garrel,1923,2,24,2011,6,4,88
40520925,Jean Gaven,1922,1,16,2014,5,5,92
7709354,Daniel Gelin,1921,5,19,2002,11,29,81
2538573,Henri Genes,1919,7,2,2005,8,22,86
21061299,Rene Genin,1890,1,25,1967,10,24,77
41101570,Pierre Gerald,1906,5,26,2012,3,24,105
19190751,Georges Geret,1924,10,18,1996,4,7,71
43612786,Raymond Gerome,1920,5,17,2002,2,3,81
46565093,Gilbert Gil,1913,9,9,1988,8,25,74
16748957,Bernard Giraudeau,1947,6,18,2010,7,17,63
23752701,Francis Girod,1944,10,9,2006,11,19,62
13598498,Gaston Glass,1899,12,31,1965,11,11,65
50290454,Jean Gobet,1888,7,20,1980,4,29,91
50616786,Jean-Pierre Granval,1923,12,10,1998,5,28,74
28775692,Francois Guerin,1927,12,12,2003,10,26,75
43328355,Paul Guide,1884,3,18,1940,10,16,56
17528670,Julien Guiomar,1928,5,3,2010,11,22,82
43041808,Henri Guisol,1904,10,12,1994,5,11,89
1939122,Jess Hahn,1921,10,29,1998,6,29,76
1620142,Roger Hanin,1925,10,20,2015,2,11,89
43411582,Harry-Max,1901,11,23,1979,3,13,77
19215385,Rene Havard,1923,12,20,1987,12,7,63
36556423,Jacques Herlin,1927,8,17,2014,6,7,86
16359696,Marcel Herrand,1897,10,8,1953,6,11,55
49553715,Philippe Hersent,1912,7,26,1982,12,30,70
21033580,Jacques Hilling,1926,5,22,1975,2,16,48
32684575,Olivier Hussenot,1913,9,10,1978,8,25,64
50303041,Denis d'Ines,1885,9,1,1968,9,25,83
21133464,Daniel Ivernel,1920,6,3,1999,11,11,79
7825050,Gabriel Jabbour,1922,11,7,1987,9,20,64
35095478,Gaston Jacquet,1883,8,14,1970,1,28,86
30466677,Marc de Jonge,1949,2,16,1996,3,10,47
7525004,Jacques Jouanneau,1926,10,3,2011,7,19,84
36716165,Romuald Joube,1876,6,20,1949,9,14,73
541778,Louis Jourdan,1921,6,19,2015,2,14,93
34269048,Elie Kakou,1960,1,12,1999,6,10,39
35168015,Roger Karl,1882,4,29,1984,5,4,102
21133394,Jean-Pierre Kerien,1912,3,15,1984,4,9,72
25608802,Robert Lamoureux,1920,1,4,2011,10,29,91
21032022,Georges Lampin,1901,10,14,1979,5,8,77
21033719,Leon Larive,1886,6,28,1961,7,20,75
18813489,Pierre Larquey,1884,7,10,1962,4,17,77
6631981,Remi Laurent,1957,10,12,1989,11,14,32
17656601,Claude Laydu,1927,3,10,2011,7,29,84
