pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
216774,Layne Staley,1967,8,22,2002,4,5,34
2842637,Jermaine Stewart,1957,9,7,1997,3,17,39
481654,John Stewart (musician),1939,9,5,2008,1,19,68
48222258,Jim Sullivan (singer-songwriter),1940,8,13,1975,3,6,34
1790603,Howard Tate,1939,8,13,2011,12,2,72
23142276,Art Thieme,1941,7,9,2015,5,26,73
21989974,Robbin Thompson,1949,6,16,2015,10,10,66
50504,Ike Turner,1931,11,5,2007,12,12,76
51845,Ritchie Valens,1941,5,13,1959,2,3,17
292709,Townes Van Zandt,1944,3,7,1997,1,1,52
431713,Ronnie Van Zant,1948,1,15,1977,10,20,29
431785,Randy VanWarmer,1955,3,30,2004,1,12,48
166911,Stevie Ray Vaughan,1954,10,3,1990,8,27,35
1673764,Roger Voudouris,1954,12,29,2003,8,3,48
31350781,John Walker (musician),1943,11,12,2011,5,7,67
367133,Scott Weiland,1967,10,27,2015,12,3,48
179935,Bob Welch (musician),1945,8,31,2012,6,7,66
1253793,Clarence White,1944,6,7,1973,7,14,29
1594732,Slim Whitman,1923,1,20,2013,6,19,90
33603977,Ricky Williams (musician),1956,10,4,1992,11,21,36
422678,Rozz Williams,1963,11,6,1998,4,1,34
304829,Wesley Willis,1963,5,31,2003,8,21,40
49602192,Stan Wilson (folk musician),1922,5,2,2005,6,8,83
1501359,Ali-Ollie Woodson,1951,9,12,2010,5,30,58
200591,Warren Zevon,1947,1,24,2003,9,7,56
