pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
8134096,Luke Askew,1932,3,26,2012,3,29,80
64962,Fred Astaire,1899,5,10,1987,6,22,88
19389395,Hooper Atchley,1887,4,30,1943,11,17,56
21762916,Roscoe Ates,1895,1,20,1962,3,1,67
15305444,Malcolm Atterbury,1907,2,20,1992,8,16,85
2643864,Joseph Attles,1903,4,7,1990,10,29,87
3329902,Barry Atwater,1918,5,16,1978,5,24,60
1958932,Roy Atwell,1878,5,2,1962,2,6,83
1223900,Mischa Auer,1905,11,17,1967,3,5,61
44610920,Frank Austin (actor),1877,10,9,1954,5,13,76
472434,Ned Austin,1925,4,25,2007,2,10,81
176742,Gene Autry,1907,9,29,1998,10,2,91
13356208,Lloyd Avery II,1969,6,21,2005,9,4,36
1035700,James Avery (actor),1945,11,27,2013,12,31,68
6112522,Tol Avery,1915,8,28,1973,8,27,57
7894621,Val Avery,1924,7,14,2009,12,12,85
772828,Hoyt Axton,1938,3,25,1999,10,26,61
2628130,Arthur Aylesworth,1883,8,12,1946,6,26,62
149808,Lew Ayres,1908,12,28,1996,12,30,88
7274045,Sydney Ayres,1879,8,28,1916,9,9,37
44925870,E. J. Babille,1883,5,3,1970,2,18,86
17383890,Charles A. Bachman,1882,7,12,1966,5,14,83
242782,Jim Backus,1913,2,25,1989,7,3,76
1834712,David Bacon (actor),1914,3,24,1943,9,13,29
3188485,Irving Bacon,1893,9,6,1965,2,5,71
16930612,James Bacon (author),1914,5,12,2010,9,18,96
1330326,Buddy Baer,1915,6,11,1986,7,18,71
492179,Max Baer (boxer),1909,2,11,1959,11,21,50
2169554,Parley Baer,1914,8,5,2002,11,22,88
755989,Ross Bagdasarian Sr.,1919,1,27,1972,1,16,52
1562909,King Baggot,1879,11,7,1948,7,11,68
15765579,Bob Bailey (actor),1913,6,13,1983,8,13,70
4353360,Jack Bailey (actor),1907,9,15,1980,2,1,72
15777786,Jim Bailey (entertainer),1938,1,10,2015,5,30,77
1051978,Raymond Bailey,1904,5,6,1980,4,15,75
15104229,Sherwood Bailey,1923,8,6,1987,8,6,64
13595277,William Bailey (actor),1886,9,26,1962,11,8,76
350798,Conrad Bain,1923,2,4,2013,1,14,89
9536988,Richard Bakalyan,1931,1,29,2015,2,27,84
3244295,Art Baker (actor),1898,1,7,1966,8,26,68
13234013,Eddie Baker,1897,11,17,1968,2,4,70
5625184,John Bailey (American actor),1947,6,4,1994,11,13,47
49921249,Jim B. Baker,1941,7,12,2014,2,4,72
934995,Kenny Baker (American performer),1912,9,30,1985,8,10,72
11804127,Lenny Baker,1945,1,17,1982,4,12,37
4771698,Tom Baker (American actor),1940,8,23,1982,9,2,42
