pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
11031814,Erwin Geschonneck,1906,12,27,2008,3,12,101
27827446,Frank Giering,1971,11,23,2010,6,23,38
26349756,Harry Giese,1903,3,2,1991,1,20,87
29487562,Horst Giese,1926,1,31,2008,12,29,82
8804696,Walter Giller,1927,8,23,2011,12,15,84
29626684,Vadim Glowna,1941,9,26,2012,1,24,70
21008046,Friedrich Gna,1892,11,13,1958,5,8,65
28807073,Boy Gobert,1925,6,5,1986,5,30,60
36026548,Fred Goebel,1891,4,3,1964,5,16,73
19083734,Curt Goetz,1888,11,17,1960,9,12,71
14416492,Bernhard Goetzke,1884,6,5,1964,10,7,80
35029777,Alexander Golling,1905,8,2,1989,2,26,83
47287922,Christian Gollong,1901,6,24,1988,7,27,87
1144697,Walter Gotell,1924,3,15,1997,5,5,73
12067601,John Gottowt,1881,6,15,1942,8,29,61
31278776,Paul Graetz,1889,8,4,1937,2,16,47
1039995,Alexander Granach,1893,4,18,1945,3,14,51
36005989,Ernst Gronau,1887,8,21,1938,8,10,50
23012675,Wolfgang Gronebaum,1927,3,14,1998,3,16,71
49659459,Walter Gross (actor),1904,2,5,1989,5,17,85
33473705,Kurt Grokurth,1909,5,26,1975,5,29,66
19603055,Max Gulstorff,1882,3,23,1947,2,6,64
42920807,Gert Gunther Hoffmann,1929,2,21,1997,11,17,68
28086169,Michael Habeck,1944,4,23,2011,2,4,66
42639805,Hans Hinrich,1903,12,27,1974,10,20,70
44917191,Paul Hansard,1922,1,12,2013,1,28,91
1679686,Joachim Hansen (actor),1930,6,28,2007,9,13,77
24872276,Raimund Harmstorf,1939,10,7,1998,5,3,58
35997709,Paul Hartmann (actor),1889,1,8,1977,6,30,88
19602792,Clemens Hasse,1908,4,13,1959,7,28,51
33504378,Hannjo Hasse,1921,8,31,1983,2,5,61
19593608,O. E. Hasse,1903,7,11,1978,9,12,75
45671262,Karl-Heinz von Hassel,1939,2,8,2016,4,19,77
28856503,Ullrich Haupt (actor born 1887),1887,8,8,1931,8,5,43
20024520,Richard Haussler,1908,10,26,1964,9,28,55
17710885,Wolfgang Heinz (actor),1900,5,18,1984,10,30,84
28799937,Martin Held,1908,11,11,1992,1,31,83
44141167,Martin Hellberg,1905,1,31,1999,10,31,94
24319117,Paul Henckels,1885,9,9,1967,5,27,81
20017365,Jan Hendriks,1928,12,6,1991,12,17,63
33305967,Rolf Herricht,1927,10,5,1981,8,23,53
10693860,Gerard Herter,1920,2,6,2007,2,6,87
43459819,Marcel Hillaire,1908,4,23,1988,1,1,79
49660043,Max Hiller,1967,4,99,1948,12,18,-19
36005842,Heinz Hilpert,1890,3,1,1967,11,25,77
43545439,Michael Hinz,1939,12,28,2008,11,6,68
21007988,Werner Hinz,1903,1,18,1985,2,10,82
35933124,Ernst Hofmann,1890,12,7,1945,4,27,54
19976939,Claus Holm,1918,8,4,1996,9,21,78
3583327,Wilhelm von Homburg,1940,8,25,2004,3,10,63
19962590,Herbert Hubner,1889,2,6,1972,1,27,82
7873864,Paavo Hukkinen,1911,10,27,1988,6,7,76
29261615,Carl Jaffe,1902,3,21,1974,4,12,72
106405,Emil Jannings,1884,7,23,1950,1,2,65
21351464,Walter Janssen,1887,2,7,1976,1,1,88
33430201,Gunther Jerschke,1921,10,8,1997,5,6,75
19624307,Georg John,1879,7,23,1941,11,18,62
3259982,Gottfried John,1942,8,29,2014,9,1,72
20040322,Karl John (actor),1905,3,24,1977,12,22,72
309181,Curd Jurgens,1915,12,13,1982,6,18,66
49658044,Edwin Jurgensen,1898,5,24,1947,4,1,48
15418670,Willy Kaiser-Heyl,1876,8,4,1953,12,2,77
36020106,Erich Kaiser-Titz,1875,10,7,1928,11,22,53
25038407,Wolf Kaiser,1916,10,26,1992,10,22,75
30641642,Fritz Kampers,1891,7,14,1950,9,1,59
32752183,Bruno Kastner,1890,1,30,1932,6,30,42
24184788,Gunther Kaufmann,1947,6,16,2012,5,10,64
18578670,Friedrich Kayler,1874,4,7,1945,4,30,71
49718445,Joachim Kemmer,1939,9,12,2000,4,27,60
36098661,Paul Kemp (actor),1896,4,20,1953,8,13,57
40000687,Erich Kestin,1895,6,25,1969,5,22,73
